src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.56.103,192.168.56.101,39814,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:00,1571,343730.1082113304,5092.297899427117,3182.686187141948,1909.6117122851688,5,3,326,214,74,60,65.2,5.1536394906900505,74,66,71.33333333333333,3.7712361663282534,74,60,67.5,5.545268253204709,30.75,100,60,20,2,224.42857142857142,641,22,203.98029116479236,1571,693,215,392.75,182.99778004117974,1267,977.9999999999999,289,633.5,344.49999999999994,0,0,0,0,1,0,0,0,0,0,0,0.6,67.5,64240,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2,71.33333333333333,0,5,3,326,214,benign
192.168.56.103,192.168.56.101,39824,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90022699,61227.224480350225,263.5335339145964,183.49816416857263,80.03536974602372,16519,7205,3046172,2465668,3126,66,184.40414068648224,188.15175940359234,1514,66,342.2162387,471.5205570105748,3126,66,232.3318158826505,312.1515095444285,97438.56491086543,330380,144100,20,15445,3794.7130211187455,1655919,-36,20320.483890537624,90022699,1656561,0,5449.975723453203,24865.062929101387,89994328,1656069,-7,12492.272071071628,35871.70367,0,0,0,0,1,0,0,0,0,0,0,0.4361644167322477,232.3318158826505,42340,8232,0,0,0,0,1104040,551879,827959.5,276080.5,2167.278612716763,16.79421965317919,4345.461538461538,10.961538461538462,74233.99085352285,36348.264126043694,184.40414068648224,342.2162387,0,16519,7205,3046172,2465668,benign
192.168.56.103,192.168.56.101,39826,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90020852,64156.33568986883,282.4678886620624,195.6435604,86.82432821231241,17612,7816,3205234,2570174,2466,66,181.99148307971836,187.85526185095523,1514,66,328.8349539406346,462.31718939418397,2466,66,227.12789051439358,307.784174,94731.09777017646,352240,156320,20,16425,3540.3522633421167,1257286,-34,12922.213906225277,90020852,1257286,0,5111.62637,16211.627385407879,89986753,1258031,0,11514.619705694178,22181.48376162885,0,0,0,0,1,0,0,0,0,0,0,0.44378832614126734,227.12789051439358,42340,6294,0,0,0,0,0,0,0,0,2113.3599137931033,16.667025862068964,3223.8070175438597,7.719298245614035,70122.79080982896,41817.91659355922,181.99148307971836,328.8349539406346,0,17612,7816,3205234,2570174,benign
192.168.56.103,192.168.56.101,39840,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90032146,68231.16267827271,310.9556002363867,239.95873651617725,70.99686372020945,21604,6392,3646925,2496073,12846,66,168.80785965561932,327.95928300376323,1514,66,390.49953066332915,444.30191514558265,12846,66,219.42413201885984,369.7704486084704,136730.18466410946,432080,127840,20,18527,3215.9980710841223,1279283,-31,14219.377049945335,89996283,1279283,0,4165.915983891126,16557.35157343555,90032117,1280192,0,14087.328587075575,30836.47723650815,0,0,0,0,1,0,0,0,0,0,0,0.2958711349750046,219.42413201885984,42340,1623,0,0,0,0,0,0,0,0,2120.995260663507,20.364928909952607,2776.583554376658,7.570291777188329,86538.17335,47447.62094446952,168.80785965561932,390.49953066332915,0,21604,6392,3646925,2496073,benign
192.168.56.103,192.168.56.101,39848,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90015012,67113.41659322336,276.17615603939487,209.18732977561567,66.98882626,18830,6030,3534443,2506772,12846,66,187.70276155071693,439.4845008862005,1514,66,415.7167495854063,458.0884245186643,12846,66,243.0094529364441,454.69641117853433,206748.82633863876,376600,120600,20,16184,3621.002936562211,1173761,-35,13644.65961204561,89962482,1173761,0,4777.868288278719,16083.158618392428,90014984,1174329,-14,14930.334052081605,27790.048475110652,0,0,0,0,1,0,0,0,0,0,0,0.3202336696760489,243.0094529364441,42340,994,0,0,0,0,0,0,0,0,2207.9235924932977,19.85254691689008,4139.81,11.455,67459.54481678165,33706.77787699841,187.70276155071693,415.7167495854063,0,18830,6030,3534443,2506772,benign
192.168.56.103,192.168.56.101,39850,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90001062,60976.113815190314,279.9189191789759,198.38654792762333,81.53237125135256,17855,7338,3022399,2465516,3306,66,169.27465695883507,195.87476998242838,1514,66,335.9929136004361,395.79396515763955,3306,66,217.83491446036598,280.2820314680636,78558.01716,357100,146760,20,13929,3572.588678945697,2029610,-37,21395.540271271457,89999134,2029610,0,5040.838691609723,25493.683831083206,90001032,2030158.9999999998,-16,12266.734632683658,41197.093357287304,0,0,0,0,1,0,0,0,0,0,0,0.41097731727807335,217.83491446036598,42340,1961,0,0,0,0,1190552,397635,676536.6666666666,363903.07263732865,1947.5391400220508,14.340683572216097,2292.753164556962,6.310126582278481,101653.0069912202,75552.89985650883,169.27465695883507,335.9929136004361,0,17855,7338,3022399,2465516,benign
192.168.56.103,192.168.56.101,39864,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90031401,68332.7587,293.0644164917527,223.95519536567025,69.10922112608245,20163,6222,3633252,2518842,34818,66,180.19401874721024,472.6229789546945,1514,66,404.8283510125362,465.7345892229426,34818,66,233.16634451392838,480.56378996119315,230941.5562218658,403260,124440,20,17553,3412.327546998181,1187234,-38,12721.17973351674,90031401,1187234,0,4465.400307509176,15084.959414455387,89993523,1188129,-12,14466.086320527247,26439.38749253341,0,0,0,0,1,0,0,0,0,0,0,0.30858503198928733,233.16634451392838,42340,584,0,0,0,0,0,0,0,0,2278.0581683168316,20.150990099009903,2882.609523809524,7.415873015873016,100247.7668010786,44189.89905675344,180.19401874721024,404.8283510125362,0,20163,6222,3633252,2518842,benign
192.168.56.103,192.168.56.101,39868,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90003739,64078.848990929146,280.0328106369003,190.0143281825214,90.01848245437893,17102,8102,3139327,2628009,14226,66,183.5649047,393.5436688741744,1514,66,324.36546531720563,417.16936109952644,14226,66,228.8262180606253,406.6422584951409,165357.92639402897,342040,162040,20,13948,3571.1311351823197,1288993,-24,13958.113359730663,90003739,1288993,0,5263.068767908309,17254.844527454752,89996253,1289562,-12,11109.277002839155,24859.553498836445,0,0,0,0,1,0,0,0,0,0,0,0.47374576072973923,228.8262180606253,42340,5343,0,0,0,0,0,0,0,0,2002.6900878293602,16.190715181932244,3284.8716216216217,9.685810811,63287.58627260667,40754.81593201867,183.5649047,324.36546531720563,0,17102,8102,3139327,2628009,benign
192.168.56.103,192.168.56.101,39884,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90016851,66137.87234125752,314.1745093926914,235.05598968353158,79.11851970915978,21159,7122,3403411,2550112,2878,66,160.84933125383998,124.84434803869092,1514,66,358.0612187587756,479.0907489,2878,66,210.51317138715038,277.1116274147123,76790.85404843034,423180,142440,20,19968,3183.0331329561527,1605339,-38,13714.800140156607,89979838,1605339,0,4252.757255,17028.521177887953,90016823,1606538,-6,12641.036792585312,26114.980268016112,0,0,0,0,1,0,0,0,0,0,0,0.3365943570112009,210.51317138715038,42340,3306,0,0,0,0,0,0,0,0,2049.966065747614,20.137857900318135,2959.7450980392155,7.823529411764706,87515.84571658268,38156.77018702624,160.84933125383998,358.0612187587756,0,21159,7122,3403411,2550112,benign
192.168.56.103,192.168.56.101,39894,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90016546,65035.31028617783,310.83174419956083,206.4176068253052,104.41413737425562,18581,9399,3184906,2669348,9726,66,171.40659813788278,202.3822511884292,1514,66,284.0034046175125,401.1142980009024,9726,66,209.2299499642602,289.95662492053606,84074.84433530844,371620,187980,20,16008,3217.2545837949892,1051994,-35,12783.176007926313,90016546,1051994,0,4844.808719052745,15869.773852941247,89982629,1113452,-2,9574.657267503724,22423.799516007508,0,0,0,0,1,0,0,0,0,0,0,0.5058392982078467,209.2299499642602,42340,2300,0,0,0,0,0,0,0,0,2008.4330357142858,16.196428571428573,2694.8525179856115,7.751798561151079,56095.36944719492,51755.44361369636,171.40659813788278,284.0034046175125,0,18581,9399,3184906,2669348,benign
192.168.56.103,192.168.56.101,39866,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90059311,68702.92400971179,297.426215,235.6891226938212,61.73709234795279,21226,5560,3713790,2473548,13098,66,174.96419485536606,309.27078520355667,1514,66,444.88273381294965,504.1481032292481,13098,66,230.9914880907937,374.8809073472132,140535.69469346988,424520,111200,20,19480,3362.2960985626282,1551047,-26,13512.06045127837,89984303,1551047,0,4239.543133097762,16151.142033763628,90059292,1552184,0,16200.628170534268,28962.611806427853,0,0,0,0,1,0,0,0,0,0,0,0.26194290021671535,230.9914880907937,42340,5,0,0,0,0,0,0,0,0,2275.935334872979,21.32794457274827,3904.009009009009,10.144144144144144,94306.75187844584,36401.56067769593,174.96419485536606,444.88273381294965,0,21226,5560,3713790,2473548,benign
192.168.56.103,192.168.56.101,39900,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90018207,54441.841970924834,167.5327747863274,92.81455694846265,74.71821783786473,8355,6726,2425805,2474952,12098,66,290.34171154997006,1013.9988059094645,1514,66,367.9678858162355,344.92571503780465,12098,66,324.96233671507196,790.0493717825101,624178.0099,167100,134520,20,3007,5969.357824933687,1111011,-37,20232.90732499809,89973231,1111011,0,10770.07792674168,27552.631617863648,90018185,1111621,0,13385.603717472119,29972.61416,0,0,0,0,1,0,0,0,0,0,0,0.8050269299820467,324.96233671507196,42340,501,0,0,0,0,0,0,0,0,2226.4126213592235,11.689320388349515,12287.17037037037,40.022222222222226,115900.09122588894,25817.063649550164,290.34171154997006,367.9678858162355,0,8355,6726,2425805,2474952,benign
192.168.56.103,192.168.56.101,39910,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90005164,61629.97492,175.95657066965626,100.07203586674206,75.8845348,9007,6830,2985257,2561759,24130,66,331.4374375485733,1262.879233,1514,66,375.07452415812594,332.98470171534507,24130,66,350.2567405,977.4123446440526,955334.8914625844,180140,136600,20,2984,5683.574134882546,1141463,-30,20430.57232443362,89958368,1141463,0,9988.715079,27048.511130712624,90005083,1142142,1,13179.833504173379,31030.59253957469,0,0,0,0,1,0,0,0,0,0,0,0.7582991006994559,350.2567405,42340,0,0,0,0,0,0,0,0,0,5036.028571428571,22.085714285714285,16829.121739130434,53.89565217391304,209564.66771954368,25463.279704223463,331.4374375485733,375.07452415812594,0,9007,6830,2985257,2561759,benign
192.168.56.103,192.168.56.101,39950,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90003974,63684.94351149428,269.7769767,195.16915997509176,74.60781676151322,17566,6715,3179965,2551933,20105,66,181.0295457133098,382.87287286948606,1514,66,380.03469843633656,451.3184779789013,20105,66,236.0651538239776,412.6807479558485,170305.39973339858,351320,134300,20,14683,3706.8665156507413,1112257,-107,13104.31335672852,90003974,1112257,0,5124.052035297466,15809.989140446389,89997954,1156559,-10,13404.521000893656,25611.162030377545,0,0,0,0,1,0,0,0,0,0,0,0.3822725720141182,236.0651538239776,42340,5524,0,0,0,0,0,0,0,0,2052.6169950738918,16.883004926108374,2930.703296703297,7.461538461538462,76102.42181240676,46257.89774459056,181.0295457133098,380.03469843633656,0,17566,6715,3179965,2551933,benign
192.168.56.103,192.168.56.101,39942,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90035033,66666.42750050417,219.3035238,148.02016010812147,71.28336366578552,13327,6418,3471881,2530433,26130,66,260.5148195392812,953.4707497796202,1514,66,394.2712683078841,387.67117344811146,26130,66,303.9915928083059,816.3223718412469,666382.2147685189,266540,128360,20,8476,4560.098308,1335698,-36,17855.984197301586,90035033,1335698,0,6756.3434639051475,22031.339843949536,89975769,1336677,0,14021.469378214118,31514.95936305017,0,0,0,0,1,0,0,0,0,0,0,0.48157874990620547,303.9915928083059,42340,8,0,0,0,0,0,0,0,0,3417.1198979591836,19.408163265306122,7295.551569506726,22.062780269058297,121029.8776447228,28940.102465140637,260.5148195392812,394.2712683078841,0,13327,6418,3471881,2530433,benign
192.168.56.103,192.168.56.101,39952,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,18/02/2025 16:01,90008700,68019.62477,347.5108517287773,257.0529293279427,90.45792240083458,23137,8142,3482929,2639429,4986,66,150.53503047067468,138.11697764613555,1514,66,324.1745271432081,384.65028140204674,4986,66,195.73381501966176,241.7215797004916,58429.32209,462740,162840,20,18863,2877.6791354945967,775790,-31,11500.45889292821,90008700,776176,0,3890.417531120332,13618.429143735955,89951491,839069,-1,11049.194325021495,24882.23587854418,0,0,0,0,1,0,0,0,0,0,0,0.3519038769071185,195.73381501966176,42340,1982,0,0,0,0,0,0,0,0,1985.4294736842105,19.049473684210525,2287.0030674846626,6.659509202453988,104745.14630771524,88902.15120852887,150.53503047067468,324.1745271432081,0,23137,8142,3482929,2639429,benign
