src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.56.101,192.168.56.103,6633,35462,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,5/03/2025 16:05,90028873,48911.51975,269.78011820718893,90.28214759502765,179.49797061216128,8128,16160,1961587,2441862,1514,66,241.33698326771653,337.4941403695962,1514,66,151.1053217821782,147.09961995022425,1514,66,181.3014246,233.0823107083939,54327.36356516427,162560,323200,20,4419,3706.8591015769753,4962438,-30,45165.02053852599,90028873,5005085,0,11077.749846191708,78900.71307859561,89946140,4962438,0,5566.318460300761,55365.37590565206,0,0,0,0,1,0,0,0,0,0,0,1.9881889763779528,181.3014246,500,112,0,0,0,0,0,0,0,0,2179.3105590062114,9.453416149068323,1997.136923076923,18.493846153846153,90419.49306235154,45157.92432015293,241.33698326771653,151.1053217821782,0,8128,16160,1961587,2441862,PortScan
192.168.56.101,192.168.56.103,6633,35454,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,5/03/2025 16:05,90024260,43615.62094484309,212.44273488057553,68.27048620005318,144.17224868052233,6146,12979,1751878,2174586,1514,66,285.0436055971364,431.16951581596265,1266,66,167.54649818938285,161.21685803001668,1514,66,205.30530718954248,283.53537583450066,80392.30934961153,122920,259580,20,2588,4707.387105208116,4960842,-31,53687.85257677226,90024260,5003225,-5,14650.00163,94561.71229453733,89927720,4960842,0,6929.2433348744025,65455.67815497254,0,0,0,0,1,0,0,0,0,0,0,2.111780019524894,205.30530718954248,500,112,0,0,0,0,0,0,0,0,2470.6610169491523,8.813559322033898,2110.887788778878,18.834983498349835,40777.180287733274,72468.27312854443,285.0436055971364,167.54649818938285,0,6146,12979,1751878,2174586,PortScan
192.168.56.101,192.168.56.103,6633,35442,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,5/03/2025 16:05,90007707,48005.84465505826,246.00115632320242,71.01614087335876,174.98501544984364,6392,15750,1835102,2485794,1514,66,287.0935544430538,388.2520035767471,2226,66,157.82819047619049,162.15052522484743,2226,66,195.14479270165296,256.22174849228264,65649.58440044253,127840,315000,20,3850,4065.1913644370175,4963024,-29,45873.455757855074,90007707,5005374,0,14083.509153497105,85984.39777917766,89952303,4963024,0,5711.619975871484,54507.9063,0,0,0,0,1,0,0,0,0,0,0,2.464017521902378,195.14479270165296,500,1019,0,0,0,0,0,0,0,0,2280.5487012987014,7.876623376623376,2123.6598746081504,19.142633228840126,60045.49858582011,58037.06684233628,287.0935544430538,157.82819047619049,0,6392,15750,1835102,2485794,PortScan
192.168.56.101,192.168.56.103,6633,35436,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,5/03/2025 16:05,90002773,49888.24066565149,253.78106961215516,57.198237658744134,196.58283195341102,5148,17693,1799160,2690920,1514,66,349.4871794871795,464.0680613132627,8278,66,152.08952693155484,134.8183922182388,8278,66,196.57983450812137,263.4783853306334,69420.85953643773,102960,353860,20,3008,3940.5691330998247,4968196,-20,43097.75156541937,90002773,5011815,0,17486.45288517583,90894.74594768381,89906222,4968196,0,5081.7444042505085,49384.58108989698,0,0,0,0,1,0,0,0,0,0,0,3.436868686868687,196.57983450812137,500,1000,0,0,0,0,0,0,0,0,2468.8190476190475,6.671428571428572,2304.8,24.29375,49673.808796096244,75593.23701602191,349.4871794871795,152.08952693155484,0,5148,17693,1799160,2690920,PortScan
192.168.56.101,192.168.56.103,6633,35424,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,5/03/2025 16:05,90010859,53484.96896357805,228.9834829817589,52.98249625636836,176.00098672539056,4769,15842,1789164,3025064,1514,66,375.1654434892011,431.65059310537407,16330,66,190.9521525059967,539.9232170188184,16330,66,233.57566348066567,522.6968658070064,273212.0135244676,95380,316840,20,4051,4367.338961669093,4972320,-1,44183.574684621206,89983399,5014857,3,18872.357172818793,92144.28916989232,89968373,4972320,0,5679.462975822234,50649.06253631448,0,0,0,0,1,0,0,0,0,0,0,3.321870413084504,233.57566348066567,500,112,0,0,0,0,0,0,0,0,3520.683257918552,12.217194570135746,2757.1588235294116,23.94313725490196,31677.481015093268,69788.05123600176,375.1654434892011,190.9521525059967,0,4769,15842,1789164,3025064,PortScan
192.168.56.101,192.168.56.103,6633,35416,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,5/03/2025 16:05,90023653,51656.99063556108,251.644976,57.118322003662755,194.52665401169625,5142,17512,1793850,2856501,1514,66,348.8623103850642,433.98439373932194,12966,66,163.11677706715395,232.9917443486151,12966,66,205.2772578794032,301.2757289743752,90767.06487,102840,350240,20,3574,3974.0137730101974,4969173,-178,39959.20650553249,89988445,5014277,0,17504.074110095313,84611.54692941223,89978624,4969173,0,5138.405802067272,45716.067132835306,0,0,0,0,1,0,0,0,0,0,0,3.4056787242318163,205.2772578794032,500,203,0,0,0,0,0,0,0,0,2588.7676767676767,8.590909090909092,2379.8482428115017,22.74121405750799,46369.35216828937,55020.85295811526,348.8623103850642,163.11677706715395,0,5142,17512,1793850,2856501,PortScan
192.168.56.103,192.168.56.101,35388,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,5/03/2025 16:05,90003663,45046.188842336334,209.0137153640069,145.6051849800824,63.408530383924486,13105,5707,2249034,1805288,1506,66,171.6164822586799,168.7232267262562,1514,66,316.3287191,454.18408259993544,1514,66,215.51786093982565,294.68157627307914,86837.23139478655,262100,114140,20,12112,4784.619052681942,5002480,-29,43926.66735858329,89951610,5002480,0,6864.4391025641025,53071.04232007948,90003495,5005459,-2,15773.483175604626,79034.36823649595,0,0,0,0,1,0,0,0,0,0,0,0.4354826402136589,215.51786093982565,83,9257,0,0,0,0,3875779,1126701,2501240,1374539,2119.6768,18.3056,5505.5,22.88888888888889,70602.11899406111,21516.248622653082,171.6164822586799,316.3287191,0,13105,5707,2249034,1805288,PortScan
192.168.56.103,192.168.56.101,35400,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,5/03/2025 16:05,90004516,47061.51633546921,230.95507785409347,154.90333840581957,76.05173945,13942,6845,2331855,1903894,1266,66,167.25398077750683,163.66715615591568,1514,66,278.1437545653762,422.2985869031998,1514,66,203.76913455525087,281.7919740757719,79406.71665,278840,136900,20,12608,4330.050322332339,5003545,-25,40603.703077380065,89966006,5003545,0,6453.339502187791,49862.228094964106,89999649,5005484,0,13150.15327,70259.10039912442,0,0,0,0,1,0,0,0,0,0,0,0.49096255917371967,203.76913455525087,83,5001,0,0,0,0,0,0,0,0,2109.0570107858243,18.57010785824345,2565.9922480620153,7.100775194,69423.81919409762,46668.71756581018,167.25398077750683,278.1437545653762,0,13942,6845,2331855,1903894,PortScan
192.168.56.103,192.168.56.101,35422,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,5/03/2025 16:05,90005239,48582.33863475436,266.07340046061097,179.88952843067278,86.18387202993817,16191,7757,2433311,1939354,1506,66,150.287876,159.13124794920572,1514,66,250.01340724506898,304.5442856830516,1514,66,182.58998663771504,222.12640905969198,49340.14160175362,323820,155140,20,11550,3758.514594730029,5002777,-27,39834.06162116857,90005239,5002777,0,5559.310623841878,48459.08269005167,89935720,5005255,0,11595.631768953068,70638.56962207875,0,0,0,0,1,0,0,0,0,0,0,0.4790933234513001,182.58998663771504,83,11668,0,0,0,0,0,0,0,0,2027.0169491525423,17.053929121725734,2258.5258799171843,9.474120082815736,71988.18625322201,87003.70285031023,150.287876,250.01340724506898,0,16191,7757,2433311,1939354,PortScan
192.168.56.103,192.168.56.101,35408,6633,08:00:27:55:0d:fc,08:00:27:63:9e:81,6,5/03/2025 16:05,90010474,50872.235157877294,251.39296566752887,181.9454922546014,69.44747341292748,16377,6251,2703180,1875854,10386,66,165.05953471331745,326.9104062080329,1514,66,300.0886258198688,373.0837965673738,10386,66,202.36141064168288,345.60750712743936,119444.54898284306,327540,125020,20,12672,3978.006143103372,5008962,-27,39210.140467730904,89977289,5008962,0,5494.4607352222765,46240.52673022353,90010455,5011287,0,14401.6728,75219.03228411477,0,0,0,0,1,0,0,0,0,0,0,0.3816938389204372,202.36141064168288,83,375,0,0,0,0,0,0,0,0,2303.8976660682224,21.506283662477557,2738.574358974359,9.374358974358975,70218.80549493038,42319.75617216933,165.05953471331745,300.0886258198688,0,16377,6251,2703180,1875854,PortScan
