src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
192.168.56.101,192.168.56.103,6633,47996,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,90103240,108.9416984,1.098739624,0.577115762,0.521623862,52,47,6386,3430,240,66,122.8076923,54.24553809,126,66,72.9787234,16.51239298,240,66,99.15151515,47.89769477,2294.189164,1040,940,20,39,919420.8163,5690434,4,1730625.079,86291574,5690629,991,1691991.647,2060317.281,90050468,16086675,625,1957618.87,2940031.088,0,0,0,0,1,0,0,0,0,0,0,0.903846154,99.15151515,500,83,4025620,2570194,3380548.8,534119.7789,4799235,17033,2301601.111,1577201.905,696,5,0,0,420.2314896,0,122.8076923,72.9787234,0,52,47,6386,3430,SynFlowFlood
192.168.56.1,192.168.56.101,63642,6633,0a:00:27:00:00:0a,08:00:27:63:9e:81,6,3/03/2025 17:35,297053,1696.666925,26.93122103,13.46561051,13.46561051,4,4,248,256,66,60,62,2.449489743,74,54,64,7.211102551,74,54,63,5.477225575,30,80,80,20,3,42436.14286,167234,8,57694.88011,297053,207920,1219,99017.66667,84749.80594,256361,167234,9188,85453.66667,64639.73592,0,0,0,0,1,0,0,0,0,0,0,1,63,65535,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,64,0,4,4,248,256,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48174,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,88980552,32300.94594,149.1561886,43.79608704,105.3601016,3897,9375,1214305,1659851,11650,66,311.5999487,420.0962673,12006,60,177.0507733,469.6837068,12006,60,216.5578662,459.7850529,211402.2949,77940,187500,20,3418,6704.886746,6718970,0,93803.23119,88975045,6718970,0,22837.53722,173526.4884,88925982,14648140,0,9486.449968,169721.1886,0,0,0,0,1,0,0,0,0,0,0,2.40569669,216.5578662,500,0,0,0,0,0,4950775,54749,2098459.8,1853703.019,3291.881517,13.81516588,2317.655172,20.73103448,29754.69268,51900.90581,311.5999487,177.0507733,0,3897,9375,1214305,1659851,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48158,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,88752121,124.2674527,1.329545691,0.676040182,0.653505509,60,58,6179,4850,279,66,102.9833333,38.90607993,242,60,83.62068966,32.26764558,279,60,93.46610169,37.08297663,1375.147156,1200,1160,20,40,758565.1368,5314836,0,1489572.765,88751593,5315016,159,1504264.288,1817027.013,88698139,16989382,0,1556107.702,2681438.527,0,0,0,0,1,0,0,0,0,0,0,0.966666667,93.46610169,500,0,3606826,815023,2479714.625,1093185.368,4955023,49427,1934811.769,1274674.217,335,5,0,0,196.0405658,0,102.9833333,83.62068966,0,60,58,6179,4850,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48144,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,88524391,33970.50198,121.9212002,41.8867609,80.03443932,3708,7085,1207898,1799320,11650,66,325.7545847,422.51404,12366,60,253.9618913,806.7045994,12366,60,278.6267025,699.777782,489688.9442,74160,141700,20,3332,8202.777706,6719025,-5,103500.1784,88518865,6719025,3,23878.84138,176763.5769,88426630,14653505,0,12482.5847,194898.5765,0,0,0,0,1,0,0,0,0,0,0,1.910733549,278.6267025,500,0,0,0,0,0,4911023,89410,2527915,1819670.366,6956.038462,27.98076923,3954.85119,22.97619048,18717.23301,76016.83957,325.7545847,253.9618913,0,3708,7085,1207898,1799320,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48140,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,88295199,24841.36199,143.8130288,44.24929152,99.56373732,3907,8791,962666,1230707,1514,66,246.3951881,276.4890171,2346,60,139.9962462,135.1699836,2346,60,172.7337376,196.4233711,38582.14071,78140,175820,20,2695,6954.017091,6783997,-8,110101.5101,88290294,6783997,0,22603.7619,198924.8931,88237088,14661114,0,10038.34903,186694.3026,0,0,0,0,1,0,0,0,0,0,0,2.250063988,172.7337376,500,0,3777404,3138579,3457991.5,319412.5,4951414,49367,2739996,1705289.995,2313.064,9.784,2047.7411,19.98705502,84855.99093,66345.46233,246.3951881,139.9962462,0,3907,8791,962666,1230707,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48130,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,88067107,37441.31166,154.5412409,42.09290081,112.4483401,3707,9903,1203772,2093576,11650,66,324.7294308,443.0340319,11106,60,211.4082601,617.8859734,11650,60,242.2739162,577.7558415,333801.8124,74140,198060,20,3175,6471.238298,6783182,-9,92146.69126,88061992,6783182,0,23762.0054,176983.5709,87956009,14669196,0,8882.650879,164741.2473,0,0,0,0,1,0,0,0,0,0,0,2.671432425,242.2739162,500,0,0,0,0,0,4907974,93924,2530231,1832326.803,5757.058252,24.11650485,3915.625954,26.43129771,20494.61472,62048.28145,324.7294308,211.4082601,0,3707,9903,1203772,2093576,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48124,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,87837317,35457.15086,185.5134077,42.3168663,143.1965414,3717,12578,1203468,1910993,11650,66,323.7740113,441.8497822,8270,60,151.9313881,205.0644206,11650,60,191.1298558,286.6918527,82192.21842,74340,251560,20,3110,5390.775868,7295107,-8,86759.12214,87832360,7295107,1,23636.2648,182480.2616,87777606,14641677,0,6979.216506,145743.2923,0,0,0,0,1,0,0,0,0,0,0,3.383911757,191.1298558,500,0,0,0,0,0,4947347,53976,2625840.5,1879688.934,2492.037288,8.989830508,2606.847368,25.14210526,47917.1562,59232.28276,323.7740113,151.9313881,0,3717,12578,1203468,1910993,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48112,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,87609021,35865.32487,200.9267973,63.54368462,137.3831126,5567,12036,1330315,1811811,11650,66,238.9644333,406.9398941,1446,60,150.532652,127.8838269,11650,60,178.4994603,255.430432,65244.7056,111340,240720,20,2661,4977.21793,6655044,-5,78800.25889,87603269,6655044,0,15738.9991,140394.1353,87561520,14637801,0,7275.572912,147674.7644,0,0,0,0,1,0,0,0,0,0,0,2.162026226,178.4994603,500,0,0,0,0,0,4960004,1665183,3317410.333,1345122.29,2220.953571,7.317857143,2294.607565,22.5035461,62393.19652,48014.07845,238.9644333,150.532652,0,5567,12036,1330315,1811811,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48108,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,87379646,128.7942961,1.384761847,0.709547393,0.675214454,62,59,6257,4997,261,66,100.9193548,36.85161982,242,60,84.69491525,32.6445958,261,60,93.00826446,35.79452284,1281.247866,1240,1180,20,41,728163.7167,5352473,0,1485650.925,87378296,5352804,287,1432431.082,1831175.854,87378353,16991362,0,1506523.328,2681618.217,0,0,0,0,1,0,0,0,0,0,0,0.951612903,93.00826446,500,0,3866814,556933,2701863.286,1005655.246,4959662,40618,1997676,1322166.855,325,5,0,0,196.8494399,0,100.9193548,84.69491525,0,62,59,6257,4997,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48096,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,87150313,34394.51789,127.5497427,47.59592774,79.95381497,4148,6968,1235173,1762320,11650,66,297.7755545,390.095715,14546,60,252.9161883,889.0366197,14546,60,269.6557215,743.4409961,552704.5147,82960,139360,20,3860,7840.781736,6783070,-5,99762.96295,87145235,6783070,3,21014.04268,163396.2346,87148994,14696521,0,12508.82647,194833.2357,0,0,0,0,1,0,0,0,0,0,0,1.679845709,269.6557215,500,0,0,0,0,0,4927628,1600775,3348854.333,1363448.087,9542.21519,43.96202532,4506.675,26.31666667,16612.93132,81663.3871,297.7755545,252.9161883,0,4148,6968,1235173,1762320,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48098,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,86921509,32922.76023,101.9885653,45.37426979,56.61429555,3944,4921,1223204,1638492,11650,66,310.143002,379.2987389,12849,60,332.9591546,1136.41512,12849,60,322.8083474,883.7523308,781018.1822,78880,98420,20,3802,9806.125,6783109,-5,110375.0902,86916412,6783109,24,22043.21887,165535.8509,86920651,14689083,0,17666.79898,230317.7806,0,0,0,0,1,0,0,0,0,0,0,1.247718053,322.8083474,500,0,0,0,0,0,4938354,1600753,3352442,1367602.92,18022.27083,75.20833333,9796.470588,20.60784314,15603.611,238293.0582,310.143002,332.9591546,0,3944,4921,1223204,1638492,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48088,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,86692644,31503.09962,184.6292749,62.46204695,122.1672279,5415,10591,1218332,1512755,1514,66,224.9920591,274.067681,2046,60,142.83401,141.859551,2046,60,170.6289516,200.5953689,40238.50202,108300,211820,20,3425,5416.596376,6655633,-6,82452.7468,86691490,6655633,0,16012.46583,142942.104,86691609,17044772,0,8186.176487,176857.0329,0,0,0,0,1,0,0,0,0,0,0,1.955863343,170.6289516,500,0,0,0,0,0,4869124,1596700,3286298.667,1338093.2,2337.986928,10.23202614,2150.460705,19.68834688,58207.48915,52714.49209,224.9920591,142.83401,0,5415,10591,1218332,1512755,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48084,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,86459932,24092.09621,135.1146101,43.9394285,91.17518159,3799,7883,924666,1158335,1514,66,243.3972098,366.7651243,1326,60,146.9408854,112.9776833,1514,60,178.3085944,233.2375555,54399.75728,75980,157660,20,1635,7401.756956,6719816,-5,111293.0977,86456233,6719816,0,22763.62112,194931.2902,86459234,14677439,0,10969.19995,194576.3629,0,0,0,0,1,0,0,0,0,0,0,2.075019742,178.3085944,500,0,3653044,504305,2560303,1454770.854,4926205,822057,2400120.833,1432410.867,2713.521277,9.319148936,2098.979592,22.46598639,33112.89744,72424.00966,243.3972098,146.9408854,0,3799,7883,924666,1158335,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48082,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,86233830,33984.08722,163.0798493,48.38008471,114.6997646,4172,9891,1234766,1695812,11650,66,295.9650048,453.026144,8106,60,171.4500051,301.906785,11650,60,208.3892484,358.0889701,128227.7105,83440,197820,20,2601,6132.400299,6976209,-5,86150.02279,86228888,6976209,0,20673.43275,158543.4793,86233124,14629374,0,8719.223862,159964.0779,0,0,0,0,1,0,0,0,0,0,0,2.370805369,208.3892484,500,0,0,0,0,0,4953933,1728543,3401170,1319484.924,2806.411429,9.748571429,2294.66485,20.20980926,32142.47241,46348.99986,295.9650048,171.4500051,0,4172,9891,1234766,1695812,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48068,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,86006242,34390.5504,180.0566987,52.50781682,127.5488819,4516,10970,1258302,1699500,11650,66,278.6319752,466.6673172,2406,60,154.922516,135.8894941,11650,60,190.9984502,282.4014079,79750.55521,90320,219400,20,2082,5554.164805,6976287,0,81682.99635,86001108,6976287,0,19047.86445,151523.2756,86005556,14641061,0,7840.783663,151767.3287,0,0,0,0,1,0,0,0,0,0,0,2.429140833,190.9984502,500,0,0,0,0,0,4912933,1728440,3387513.667,1303494.413,2626.923077,6.407239819,2439.300254,23.78880407,38405.00581,67366.62074,278.6319752,154.922516,0,4516,10970,1258302,1699500,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48062,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,85777711,34038.9708,113.7591559,45.25651192,68.502644,3882,5876,1216471,1703314,11650,66,313.3619268,398.8905701,14546,60,289.8764466,1026.719505,14546,60,299.2196147,835.5919552,698213.9156,77640,117520,20,3617,8791.400738,6848109,-4,101303.6165,85772633,6848109,20,22100.65267,160899.2729,85777242,14723213,0,14600.38162,207782.5719,0,0,0,0,1,0,0,0,0,0,0,1.513652756,299.2196147,500,0,0,0,0,0,4910140,1599303,3364833.667,1360584.305,10408.07692,42.66666667,4921.747475,22.63636364,16810.88818,100521.3462,313.3619268,289.8764466,0,3882,5876,1216471,1703314,SynFlowFlood
192.168.56.101,192.168.56.103,6633,48048,08:00:27:63:9e:81,08:00:27:55:0d:fc,6,3/03/2025 17:34,85548374,34419.99961,195.8307238,67.20174483,128.628979,5749,11004,1319332,1625243,11650,66,229.4889546,350.3504422,1514,60,147.6956561,149.8646353,11650,60,175.7640423,241.6232085,58381.77486,114980,220080,20,3545,5106.754,6977287,-6,77005.55313,85543555,6977287,0,14882.31646,132357.3549,85547842,14661818,0,7774.956103,150364.4855,0,0,0,0,1,0,0,0,0,0,0,1.914072013,175.7640423,500,0,0,0,0,0,4908500,1728394,3386353.333,1301819.842,2439.134796,9.978056426,2191.20202,18.94949495,58451.62876,54593.5192,229.4889546,147.6956561,0,5749,11004,1319332,1625243,SynFlowFlood
